symbol,status,rows,first_date,last_date,transport,retrieved_at,universe_snapshot_date
180101,available,1261,2021-06-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180102,available,949,2022-10-10 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180103,available,893,2022-12-27 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180105,available,472,2024-09-23 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180106,available,414,2024-12-19 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180201,available,1264,2021-06-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180202,available,1145,2021-12-14 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180203,available,434,2024-11-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180301,available,1262,2021-06-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180302,available,524,2024-07-09 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180303,available,451,2024-10-29 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180305,available,335,2025-04-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180306,available,171,2025-12-19 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180401,available,997,2022-07-26 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180402,available,420,2024-12-10 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180501,available,971,2022-08-31 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180502,available,455,2024-10-23 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180503,available,87,2026-04-29 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180601,available,601,2024-03-14 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180602,available,570,2024-04-30 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180603,available,473,2024-09-20 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180605,available,388,2025-01-24 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180606,available,290,2025-06-27 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180607,available,206,2025-10-31 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180701,available,443,2024-11-08 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180801,available,1264,2021-06-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
180901,available,260,2025-08-08 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
181001,no_history,0,,,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508000,available,1263,2021-06-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508001,available,1264,2021-06-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508002,available,496,2024-08-16 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508003,available,446,2024-11-05 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508005,available,487,2024-08-28 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508006,available,1262,2021-06-21 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508007,available,693,2023-10-27 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508008,available,1009,2022-07-08 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508009,available,918,2022-11-22 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508010,available,420,2024-12-11 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
508011,available,602,2024-03-12 00:00:00,2026-09-02 00:00:00,curl_retry_cache,2026-09-03T13:18:30.565909+08:00,2026-08-28
