snapshot_date,symbol,name,exchange,source_name,source_url,record_status
2026-08-28,508058,中金厦门安居REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508001,浙商沪杭甬REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508602,国泰海通砂之船商业REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508600,汇添富上海地产商业REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508016,华夏华电清洁能源REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508005,华夏首创奥莱REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508090,中银中外运仓储物流REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508031,国泰海通城投宽庭保租房REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180502,招商基金蛇口租赁住房REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180503,中航北京昌保租赁住房REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508077,华夏基金华润有巢REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508039,创金合信首农REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508011,嘉实物美消费REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508066,华泰江苏交控REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508084,汇添富九州通医药REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508096,中航京能国际能源REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180603,华夏大悦城消费REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508055,汇添富上海地产租赁住房REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180801,中航首钢绿能REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508085,华泰苏州恒泰租赁住房REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508603,中金唯品会商业REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508060,南方万国数据中心REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508087,国泰海通济南能源供热REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180203,招商高速公路REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508093,易方达广西北投高速REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180607,华夏中海消费REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508028,中信建投国家电投新能源REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180302,华夏深国际REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508015,中信建投明阳智能新能源REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508020,东方红隧道股份高速公路REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180305,南方顺丰物流REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180501,红土创新深圳安居REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180901,南方润泽科技数据中心REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508006,富国首创水务REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508089,华夏特变电工新能源REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180103,华夏和达高科REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508082,中金唯品会奥莱REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180301,红土创新盐田港REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508002,华安百联消费REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508069,华夏南京交通高速公路REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508009,中金安徽交控REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508033,易方达深高速REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508036,平安宁波交投REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180701,银华绍兴原水水利REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508056,中金普洛斯REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180601,华夏华润消费REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508086,工银河北高速REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508018,华夏中国交建REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508007,中金山东高速REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,508010,中金重庆两江REIT,SSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
2026-08-28,180401,鹏华深圳能源REIT,SZSE,AKShare/Eastmoney,https://quote.eastmoney.com/center/gridlist.html#fund_reits_all,source_observed
