rebalance_frequency,factor,total_return_pct,annualised_return_pct,annualised_volatility_pct,max_drawdown_pct,excess_vs_equal_weight_pct,excess_vs_932047_pct,mean_rank_ic_20d,rank_ic_naive_t_stat,positive_rank_ic_share,complete_rank_ic_periods,rebalance_events,average_selected_count,minimum_capacity_at_5pct_adv_rmb,commission_paid_rmb,cumulative_one_way_turnover,equal_weight_total_return_pct,benchmark_932047_total_return_pct,start_date,end_date
monthly,momentum_20d,16.39287974984005,6.722054493480223,8.963971786773133,-18.394257736290086,15.560658205342602,12.939675558940841,0.04955681257940405,1.0749935630255374,0.5862068965517241,29,30,12.729885057471265,716470.3526825,2985.0,22.346371941217857,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
monthly,momentum_60d,10.241530420786216,4.267259101400267,8.95066773218152,-19.478368019251203,9.409308876288769,6.7883262298870095,0.004279874789535052,0.07609983457436587,0.5517241379310345,29,30,12.729885057471265,791809.7250000001,2510.0,14.808719409818911,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
monthly,short_term_reversal_5d,-0.20720922136387987,-0.08885658343166236,9.089555122119547,-26.326505976219206,-1.0394307658613267,-3.660413412263086,-0.005758379727906704,-0.14783531053414214,0.4827586206896552,29,30,12.729885057471265,729651.2799200001,3025.0,23.338970463856988,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
monthly,liquidity_20d,4.0530632876086825,1.7173282706039128,7.301002465471935,-13.966035542328669,3.2208417431112357,0.5998590967094763,0.004231462890265104,0.12347843875250525,0.4827586206896552,29,30,12.729885057471265,4782235.84,2220.0,10.145585182807174,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
monthly,low_illiquidity_20d,5.984950575274417,2.522442325910945,6.164317806003393,-11.364120301269075,5.15272903077697,2.531746384375211,0.01043447600151202,0.2407763289678142,0.5172413793103449,29,30,12.729885057471265,2725549.50705,2225.0,9.93631904051201,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
monthly,low_volatility_20d,4.561300502530652,1.9299583977563595,5.38630633346496,-11.6954922236571,3.729078958033205,1.1080963116314457,0.019256762302522424,0.36950116729757143,0.5172413793103449,29,30,12.729885057471265,869017.9800000001,2490.0,14.569232821444869,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
monthly,market_composite,7.360141618889493,3.0904560884081667,6.004725547969576,-9.952336375152559,6.527920074392046,3.906937427990287,0.0224306128098884,0.48101251137149004,0.5862068965517241,29,30,12.729885057471265,1530936.8850000002,2540.0,15.62417636197202,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
weekly,momentum_20d,4.496226876235054,1.8865727452435976,9.227800279360798,-23.58087206980016,10.925182649897724,-1.1403429101343399,0.030902822500943984,1.3156480811895035,0.5772357723577236,123,127,12.618069815195073,585578.54,10255.0,52.26068700159086,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
weekly,momentum_60d,0.9411878041625688,0.3988881028024194,9.25045631135218,-25.475807852679534,7.370143577825239,-4.6953819822068255,0.030731906969958037,1.18089516329946,0.5609756097560976,123,127,12.618069815195073,587429.4222,8955.0,33.82530398518516,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
weekly,short_term_reversal_5d,1.4188239843573314,0.6004988882822859,9.7521259158164,-29.242714954767056,7.8477797580200015,-4.217745802012063,0.003833946920538004,0.18537713942117454,0.5040650406504065,123,127,12.618069815195073,657249.4500000001,12690.0,95.72407108170724,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
weekly,liquidity_20d,7.019374896859509,2.9248593336974604,7.582092686188921,-15.144000467524876,13.448330670522179,1.3828051104901151,0.013168479058080631,0.7603354051297162,0.5365853658536586,123,127,12.618069815195073,4294681.53,7030.0,15.763393172429922,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
weekly,low_illiquidity_20d,5.316033740451531,2.225492608834978,6.153796217971539,-13.454884833641334,11.744989514114202,-0.320536045917863,0.029183609628391654,1.3180194159143463,0.5040650406504065,123,127,12.618069815195073,1930430.4000000001,7420.0,18.557441998933506,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
weekly,low_volatility_20d,0.008219099010564612,0.0034926880381203063,5.365336868853717,-14.379162844894577,6.437174872673235,-5.62835068735883,0.03076043751111951,1.2726781925682527,0.5040650406504065,123,127,12.618069815195073,518935.88249999995,8565.0,28.030436855458316,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
weekly,market_composite,5.21388806412022,2.1833470606086314,5.975262860100523,-13.7458988189487,11.642843837782891,-0.4226817222491741,0.036906802921104986,1.564469930638076,0.5365853658536586,123,127,12.618069815195073,1036892.6749999999,9985.0,50.61422479732421,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
