portfolio,total_return_pct,annualised_return_pct,annualised_volatility_pct,max_drawdown_pct,commission_paid_rmb,start_date,end_date,rebalance_events,rank_ic_horizon_trading_days,complete_rank_ic_events,mean_rank_ic,positive_rank_ic_events,initial_capital_rmb,commission_rate_pct,minimum_commission_rmb,cash_annual_yield_pct
cross_asset_top_surprise_net,11.382872859165328,6.222938795379007,7.576583544089028,-7.376068316741192,149.30653661316506,2024-10-28,2026-09-02,8,20,8,0.019345238095238103,3,100000.0,0.01,5.0,1.5
eligible_reit_equal_weight_net,2.105947843835221,1.1739213855405106,6.305016134122641,-10.763072757063718,300.0,2024-10-28,2026-09-02,8,20,8,0.019345238095238103,3,100000.0,0.01,5.0,1.5
reit_total_return_index_benchmark,0.6815531279759535,0.3810993340454649,8.135580049349151,-17.522207303735293,0.0,2024-10-28,2026-09-02,8,20,8,0.019345238095238103,3,100000.0,0.01,5.0,1.5
