event_id,symbol,asset_id,event_type,event_start,event_end,date_precision,duration_days,publication_date,source_url,verification_status,description
180301_expansion_2023Q2,180301,,asset_acquisition,2023-06-30,,quarter,,2023-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2023-07-20/6f9150b7-6284-4d7d-a7b7-e5b1aaf2d4db.PDF,human_verified,2023年二季度扩募购入世纪物流园；报告未给出工商交割的精确日故保留季度精度
508056_expansion_listing_20230616,508056,,asset_acquisition,2023-06-16,,day,,2023-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-07-21/508056_20230721_9HWW.pdf,human_verified,第一次扩募份额于2023年6月16日上市并新增三项仓储物流资产；经营组合由七项变为十项
