rebalance_frequency,top_fraction,minimum_commission_rmb,factor,total_return_pct,annualised_return_pct,annualised_volatility_pct,max_drawdown_pct,excess_vs_equal_weight_pct,excess_vs_932047_pct,mean_rank_ic_20d,rank_ic_naive_t_stat,positive_rank_ic_share,complete_rank_ic_periods,rebalance_events,average_selected_count,minimum_capacity_at_5pct_adv_rmb,commission_paid_rmb,cumulative_one_way_turnover,equal_weight_total_return_pct,benchmark_932047_total_return_pct,start_date,end_date
monthly,0.1,0.0,momentum_20d,23.111941860758023,9.320114478048659,10.34439250472468,-17.808427969175067,15.26717904954069,19.658737669858816,0.04955681257940405,1.0749935630255374,0.5862068965517241,29,30,6.6353591160221,385791.7283675,597.3777744861918,23.92464558879008,7.844762811217332,3.453204190899206,2024-04-01,2026-09-02
monthly,0.1,5.0,momentum_20d,22.14691949025791,8.952039705612025,10.347711528544082,-18.220293061362547,21.314697945760464,18.693715299358704,0.04955681257940405,1.0749935630255374,0.5862068965517241,29,30,6.6353591160221,385791.7283675,1600.0,23.92464558879008,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
monthly,0.2,0.0,momentum_20d,18.746221944370035,7.641543023561725,8.956363792508903,-17.409635659147227,10.901459133152702,15.293017753470828,0.04955681257940405,1.0749935630255374,0.5862068965517241,29,30,12.729885057471265,716470.3526825,542.7650595495247,22.346371941217857,7.844762811217332,3.453204190899206,2024-04-01,2026-09-02
monthly,0.2,5.0,momentum_20d,16.39287974984005,6.722054493480223,8.963971786773133,-18.394257736290086,15.560658205342602,12.939675558940841,0.04955681257940405,1.0749935630255374,0.5862068965517241,29,30,12.729885057471265,716470.3526825,2985.0,22.346371941217857,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
monthly,0.3,0.0,momentum_20d,18.077250786928055,7.381232773067525,8.277184083450209,-14.711864910870142,10.232487975710722,14.624046596028847,0.04955681257940405,1.0749935630255374,0.5862068965517241,29,30,19.003853564547207,1102262.08105,459.15835705792324,19.358447443374025,7.844762811217332,3.453204190899206,2024-04-01,2026-09-02
monthly,0.3,5.0,momentum_20d,14.438735550684356,5.9504330074674705,8.290126995133729,-16.262249776210634,13.60651400618691,10.98553135978515,0.04955681257940405,1.0749935630255374,0.5862068965517241,29,30,19.003853564547207,1102262.08105,4175.0,19.358447443374025,0.8322215444974468,3.453204190899206,2024-04-01,2026-09-02
weekly,0.1,0.0,momentum_20d,11.982313760741881,4.9268024854998815,10.30494629883968,-18.512395636244005,0.8971193625631813,6.345743974372487,0.030902822500943984,1.3156480811895035,0.5772357723577236,123,127,6.54089709762533,355345.48000000004,1470.9400922084526,64.07716724248968,11.0851943981787,5.636569786369394,2024-03-25,2026-09-02
weekly,0.1,5.0,momentum_20d,8.093677308477542,3.362665181850022,10.332504194252326,-20.422357104905508,14.522633082140212,2.4571075221081475,0.030902822500943984,1.3156480811895035,0.5772357723577236,123,127,6.54089709762533,355345.48000000004,5525.0,64.07716724248968,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
weekly,0.2,0.0,momentum_20d,13.013902571346602,5.336481002886684,9.158920682215218,-19.81142264614748,1.9287081731679017,7.377332784977208,0.030902822500943984,1.3156480811895035,0.5772357723577236,123,127,12.618069815195073,585578.54,1239.7237503932001,52.26068700159087,11.0851943981787,5.636569786369394,2024-03-25,2026-09-02
weekly,0.2,5.0,momentum_20d,4.496226876235054,1.8865727452435976,9.227800279360798,-23.58087206980016,10.925182649897724,-1.1403429101343399,0.030902822500943984,1.3156480811895035,0.5772357723577236,123,127,12.618069815195073,585578.54,10255.0,52.26068700159086,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
weekly,0.3,0.0,momentum_20d,11.47765555227329,4.725595111679093,8.418665132255713,-21.00618660963438,0.39246115409459037,5.841085765903896,0.030902822500943984,1.3156480811895035,0.5772357723577236,123,127,18.76855693868142,878367.81,1034.2868196835732,43.62165242016994,11.0851943981787,5.636569786369394,2024-03-25,2026-09-02
weekly,0.3,5.0,momentum_20d,-0.9779448144261016,-0.4167598969169073,8.532506940171933,-26.789953445180014,5.4510109592365685,-6.614514600795496,0.030902822500943984,1.3156480811895035,0.5772357723577236,123,127,18.76855693868142,878367.81,14395.0,43.621652420169944,-6.42895577366267,5.636569786369394,2024-03-25,2026-09-02
