rebalance_frequency,signal_date,entry_date,factor,symbol,factor_value,selected_count,eligible_universe_count,capacity_at_5pct_adv_rmb
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,180401,0.0061606702809264835,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,180201,0.005808646585345634,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,508066,0.005410523468145523,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,508019,0.003426124197002167,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,180202,0.0015136226034307976,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,short_term_reversal_5d,508058,0.0006775067750677266,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,liquidity_20d,508028,17.334002104693948,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,508096,17.19597159845509,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,508018,17.10471367478428,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,508027,17.057956447552897,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,180401,16.97478294967824,6,29,6231216.27
monthly,2024-04-30,2024-05-06,liquidity_20d,508006,16.849054903964454,6,29,6231216.27
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,180401,-0.0181266434999617,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508018,-0.01930293276114211,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508028,-0.01972795571955161,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508001,-0.024167109079191732,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508096,-0.024533577421551867,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_illiquidity_20d,508027,-0.02464750197398974,6,29,3178753.62
monthly,2024-04-30,2024-05-06,low_volatility_20d,508001,-0.03544659183206694,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,low_volatility_20d,508009,-0.08324652411283581,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,low_volatility_20d,508007,-0.08529266431087643,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,low_volatility_20d,180202,-0.08623963033148081,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,low_volatility_20d,180801,-0.08971038248184418,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,low_volatility_20d,180201,-0.09224787207322899,6,29,2034149.2795050004
monthly,2024-04-30,2024-05-06,market_composite,180401,0.7629310344827586,6,29,3178753.62
monthly,2024-04-30,2024-05-06,market_composite,180201,0.7068965517241379,6,29,3178753.62
monthly,2024-04-30,2024-05-06,market_composite,508001,0.6810344827586208,6,29,3178753.62
monthly,2024-04-30,2024-05-06,market_composite,508056,0.6594827586206896,6,29,3178753.62
monthly,2024-04-30,2024-05-06,market_composite,508007,0.625,6,29,3178753.62
monthly,2024-04-30,2024-05-06,market_composite,508009,0.625,6,29,3178753.62
monthly,2024-05-31,2024-06-03,momentum_20d,508099,0.04176245210727969,6,30,1361834.0100000002
monthly,2024-05-31,2024-06-03,momentum_20d,508031,0.03613666228646517,6,30,1361834.0100000002
monthly,2024-05-31,2024-06-03,momentum_20d,180101,0.034839924670433176,6,30,1361834.0100000002
monthly,2024-05-31,2024-06-03,momentum_20d,508027,0.022321428571428603,6,30,1361834.0100000002
monthly,2024-05-31,2024-06-03,momentum_20d,508019,0.016330038676407588,6,30,1361834.0100000002
monthly,2024-05-31,2024-06-03,momentum_20d,508088,0.016177351707609366,6,30,1361834.0100000002
monthly,2024-05-31,2024-06-03,momentum_60d,508007,0.10336123289491161,6,30,1685159.28
monthly,2024-05-31,2024-06-03,momentum_60d,508099,0.09152950622240064,6,30,1685159.28
monthly,2024-05-31,2024-06-03,momentum_60d,508019,0.05769230769230771,6,30,1685159.28
monthly,2024-05-31,2024-06-03,momentum_60d,508028,0.05336361055918237,6,30,1685159.28
monthly,2024-05-31,2024-06-03,momentum_60d,508027,0.05287356321839076,6,30,1685159.28
monthly,2024-05-31,2024-06-03,momentum_60d,508058,0.04656084656084669,6,30,1685159.28
monthly,2024-05-31,2024-06-03,short_term_reversal_5d,508009,0.03804888839730136,6,30,1830113.475
monthly,2024-05-31,2024-06-03,short_term_reversal_5d,508066,0.02363080344731716,6,30,1830113.475
monthly,2024-05-31,2024-06-03,short_term_reversal_5d,508098,0.017021276595744705,6,30,1830113.475
monthly,2024-05-31,2024-06-03,short_term_reversal_5d,180201,0.015408059600406254,6,30,1830113.475
monthly,2024-05-31,2024-06-03,short_term_reversal_5d,508058,0.008686936184430283,6,30,1830113.475
monthly,2024-05-31,2024-06-03,short_term_reversal_5d,508077,0.007388252678241614,6,30,1830113.475
monthly,2024-05-31,2024-06-03,liquidity_20d,508018,17.07272458938364,6,30,5629685.280000001
monthly,2024-05-31,2024-06-03,liquidity_20d,508027,16.99572970690029,6,30,5629685.280000001
monthly,2024-05-31,2024-06-03,liquidity_20d,180201,16.90691943553104,6,30,5629685.280000001
monthly,2024-05-31,2024-06-03,liquidity_20d,508028,16.896754365555566,6,30,5629685.280000001
monthly,2024-05-31,2024-06-03,liquidity_20d,508009,16.8426830375665,6,30,5629685.280000001
monthly,2024-05-31,2024-06-03,liquidity_20d,508096,16.747536902346457,6,30,5629685.280000001
monthly,2024-05-31,2024-06-03,low_illiquidity_20d,508018,-0.007790200283283281,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,low_illiquidity_20d,508008,-0.012237218264354659,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,low_illiquidity_20d,180201,-0.014383729649813926,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,low_illiquidity_20d,508028,-0.015178525981211263,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,low_illiquidity_20d,508058,-0.017914020970297352,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,low_illiquidity_20d,180401,-0.018453698011283746,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,low_volatility_20d,508008,-0.04671670856738415,6,30,2146816.6950000003
monthly,2024-05-31,2024-06-03,low_volatility_20d,180801,-0.05068811986407829,6,30,2146816.6950000003
monthly,2024-05-31,2024-06-03,low_volatility_20d,508018,-0.05101336281402941,6,30,2146816.6950000003
monthly,2024-05-31,2024-06-03,low_volatility_20d,508068,-0.05135280756300909,6,30,2146816.6950000003
monthly,2024-05-31,2024-06-03,low_volatility_20d,180201,-0.05303644658297299,6,30,2146816.6950000003
monthly,2024-05-31,2024-06-03,low_volatility_20d,508001,-0.05327986918486138,6,30,2146816.6950000003
monthly,2024-05-31,2024-06-03,market_composite,508058,0.7583333333333333,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,market_composite,508088,0.7541666666666667,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,market_composite,508018,0.725,6,30,3907237.5300000003
monthly,2024-05-31,2024-06-03,market_composite,180201,0.7125,6,30,3907237.5300000003
