symbol,listing_date,publication_date,exchange,source_url,evidence_method,verification_status,raw_text
180101,2021-06-21,2021-06-21,SZSE,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/102aa6f2-71be-4f5a-adf3-471bf035b0ec.PDF,official_listing_notice_title,official_metadata_verified,蛇口产园：博时招商蛇口产业园封闭式基础设施证券投资基金上市交易提示性公告
180102,2022-10-10,2022-10-10,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2022-10-10/9d614593-5b0e-464d-9040-08d08a13acf6.PDF,official_listing_notice_title,official_metadata_verified,华夏合肥高新REIT：华夏合肥高新创新产业园封闭式基础设施证券投资基金上市交易提示性公告
180103,2022-12-27,2022-12-27,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2022-12-27/73073898-e946-47b4-b7f9-500e71afccf5.PDF,official_listing_notice_title,official_metadata_verified,华夏和达高科REIT：华夏杭州和达高科产业园封闭式基础设施证券投资基金上市交易提示性公告
180105,2024-09-23,2024-09-23,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-09-23/ce70fbc3-c30d-4c97-ba09-4f5bf7a18896.PDF,official_listing_notice_title,official_metadata_verified,易方达广开产园REIT：易方达广州开发区高新产业园封闭式基础设施证券投资基金上市交易提示性公告
180106,2024-12-19,2024-12-19,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-12-19/a98807a3-583f-425a-a943-c55a6874a70c.PDF,official_listing_notice_title,official_metadata_verified,广发成都高投产业园REIT：广发成都高投产业园封闭式基础设施证券投资基金上市交易提示性公告
180201,2021-06-21,2021-06-21,SZSE,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/edc76ee0-8c4a-4a66-b0b2-acf5f257eb72.PDF,official_listing_notice_title,official_metadata_verified,广州广河：平安广州交投广河高速公路封闭式基础设施证券投资基金上市交易提示性公告
180202,2021-12-14,2021-12-14,SZSE,https://disc.static.szse.cn/disc/disk02/finalpage/2021-12-14/31bf41a1-23b9-480a-80b9-bcfefe3873e1.PDF,official_listing_notice_title,official_metadata_verified,华夏越秀高速REIT：华夏越秀高速公路封闭式基础设施证券投资基金上市交易提示性公告
180203,2024-11-21,2024-11-21,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-11-21/30dd5c18-4bd2-476c-9b1a-372649a93f4d.PDF,official_listing_notice_title,official_metadata_verified,招商高速公路REIT：招商基金招商公路高速公路封闭式基础设施证券投资基金上市交易提示性公告
180301,2021-06-21,2021-06-21,SZSE,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/2fef5b72-1ba1-4f42-be9d-3e347d3c7cb4.PDF,official_listing_notice_title,official_metadata_verified,盐港REIT：红土创新盐田港仓储物流封闭式基础设施证券投资基金上市交易提示性公告
180302,2024-07-09,2024-07-09,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-09/aebd6a81-2102-4918-8d7c-91b1f6a70b00.PDF,official_listing_notice_title,official_metadata_verified,华夏深国际REIT：华夏深国际仓储物流封闭式基础设施证券投资基金上市交易提示性公告
180303,2024-10-29,2024-10-29,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-28/175021e0-23bb-4c06-b8f5-6d400c5d6e1f.PDF,official_listing_notice_title,official_metadata_verified,华泰宝湾物流REIT：华泰紫金宝湾物流仓储封闭式基础设施证券投资基金上市交易提示性公告
180305,2025-04-21,2025-04-21,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-18/f06324ed-3a9b-4eff-81e7-40bfab103942.PDF,official_listing_notice_title,official_metadata_verified,南方顺丰物流REIT：南方顺丰仓储物流封闭式基础设施证券投资基金上市交易提示性公告
180306,2025-12-19,2025-12-19,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2025-12-19/cb2c9860-ad76-4d2d-8480-276805ce26a5.PDF,official_listing_notice_title,official_metadata_verified,华夏安博仓储REIT：华夏安博仓储物流封闭式基础设施证券投资基金上市交易提示性公告
180401,2022-07-26,2022-07-26,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2022-07-26/09ebb270-c48c-43d7-9355-24c3884e2be5.PDF,official_listing_notice_title,official_metadata_verified,鹏华深圳能源REIT：鹏华深圳能源清洁能源封闭式基础设施证券投资基金上市交易提示性公告
180402,2024-12-10,2024-12-10,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-12-10/29c5249d-1562-452c-a638-5b981c9c2c97.PDF,official_listing_notice_title,official_metadata_verified,工银蒙能清洁能源REIT：工银瑞信蒙能清洁能源封闭式基础设施证券投资基金上市交易提示性公告
180501,2022-08-31,2022-08-31,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2022-08-30/2e6d9b04-5698-411c-83ea-233a83043752.PDF,official_listing_notice_title,official_metadata_verified,红土深圳安居REIT：红土创新深圳人才安居保障性租赁住房封闭式基础设施证券投资基金上市交易提示性公告
180502,2024-10-23,2024-10-23,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-23/f1bf4feb-d549-424a-8126-8083d8899807.PDF,official_listing_notice_title,official_metadata_verified,招商基金蛇口租赁住房REIT：招商基金招商蛇口租赁住房封闭式基础设施证券投资基金上市交易提示性公告
180503,2026-04-29,2026-04-29,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a3ebe7be-6d65-4eb0-a515-dcf4d63b3ad8.PDF,official_listing_notice_title,official_metadata_verified,中航北京昌保租赁住房REIT：中航北京昌保租赁住房封闭式基础设施证券投资基金上市交易提示性公告
180601,2024-03-14,2024-03-14,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-14/e12c074f-149f-46d2-93a8-268a91054a8c.PDF,official_listing_notice_title,official_metadata_verified,华夏华润商业REIT：华夏华润商业资产封闭式基础设施证券投资基金上市交易提示性公告
180602,2024-04-30,2024-04-30,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-29/9c31a4b4-5688-4662-8e6c-97366b978138.PDF,official_listing_notice_title,official_metadata_verified,中金印力消费REIT：中金印力消费基础设施封闭式基础设施证券投资基金上市交易提示性公告
180603,2024-09-20,2024-09-20,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-09-20/90ddc7e7-b74b-4ae8-b477-4f9f60d7bbd5.PDF,official_listing_notice_title,official_metadata_verified,华夏大悦城商业REIT：华夏大悦城购物中心封闭式基础设施证券投资基金上市交易提示性公告
180605,2025-01-24,2025-01-24,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2025-01-23/78da295a-d609-4877-ba87-44dfc0138b1f.PDF,official_listing_notice_title,official_metadata_verified,易方达华威市场REIT：易方达华威农贸市场封闭式基础设施证券投资基金上市交易提示性公告
180606,2025-06-27,2025-06-27,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2025-06-27/6c7a8dcd-e001-47a8-bdcb-fb812a0424a6.PDF,official_listing_notice_title,official_metadata_verified,中金中国绿发商业REIT：中金中国绿发商业资产封闭式基础设施证券投资基金上市交易提示性公告
180607,2025-10-31,2025-10-31,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2025-10-31/dbb87d72-3679-418e-8186-95fdc52bf57e.PDF,official_listing_notice_title,official_metadata_verified,华夏中海商业REIT：华夏中海商业资产封闭式基础设施证券投资基金上市交易提示性公告
180701,2024-11-08,2024-11-08,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2024-11-07/9a0ccf52-28be-413b-9d89-064414f03d27.PDF,official_listing_notice_title,official_metadata_verified,银华绍兴原水水利REIT：银华绍兴原水水利封闭式基础设施证券投资基金上市交易提示性公告
180801,2021-06-21,2021-06-21,SZSE,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/6ba68224-cc80-47ed-88d7-5d67de2a29ee.PDF,official_listing_notice_title,official_metadata_verified,首钢绿能：中航首钢生物质封闭式基础设施证券投资基金上市交易提示性公告
180901,2025-08-08,2025-08-08,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2025-08-08/792b615f-6da3-40b8-be60-0d6245121619.PDF,official_listing_notice_title,official_metadata_verified,南方润泽科技数据中心REIT：南方润泽科技数据中心封闭式基础设施证券投资基金上市交易提示性公告
181001,2026-09-03,2026-09-03,SZSE,https://disc.static.szse.cn/disc/disk03/finalpage/2026-09-03/35312993-fa9c-4157-b978-844fa9ec37e4.PDF,official_listing_notice_title,official_metadata_verified,创金合信北京国资公司REIT：创金合信北京国资公司封闭式商业不动产证券投资基金上市交易提示性公告
508000,2021-06-21,2021-06-21,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508000_20210621_1_lfBkSuY8.pdf,official_listing_notice_title,official_metadata_verified,华安张江光大园封闭式基础设施证券投资基金上市交易提示性公告
508001,2021-06-21,2021-06-21,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508001_20210621_1_mv8eKTIE.pdf,official_listing_notice_title,official_metadata_verified,浙商证券沪杭甬杭徽高速封闭式基础设施证券投资基金上市交易提示性公告
508002,2024-08-16,2024-08-16,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-08-16/508002_20240816_QWDN.pdf,official_listing_notice_title,official_metadata_verified,华安百联消费封闭式基础设施证券投资基金上市交易提示性公告
508003,2024-11-05,2024-11-05,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-05/508003_20241105_BJNZ.pdf,official_listing_notice_title,official_metadata_verified,中金联东科技创新产业园封闭式基础设施证券投资基金上市交易提示性公告
508005,2024-08-28,2024-08-28,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-08-28/508005_20240828_TLIO.pdf,official_listing_notice_title,official_metadata_verified,华夏首创奥特莱斯封闭式基础设施证券投资基金上市交易提示性公告
