symbol,asset_id,period_end,metric,value,unit,raw_value,raw_unit,publication_date,source_url,source_note
508018,jiayu_tongcheng_expressway,2023-06-30,traffic_volume,23100.0,vehicles_per_day,23100.0,辆次/日,2023-07-20,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-07-20/508018_20230720_3TGU.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2023-09-30,traffic_volume,26500.0,vehicles_per_day,26500.0,辆次/日,2023-10-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-24/508018_20231024_PTGV.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2023-12-31,traffic_volume,23000.0,vehicles_per_day,23000.0,辆次/日,2024-01-19,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-19/508018_20240119_T5TG.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2024-03-31,traffic_volume,24200.0,vehicles_per_day,24200.0,辆次/日,2024-04-19,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-19/508018_20240419_UIX1.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2024-06-30,traffic_volume,21600.0,vehicles_per_day,21600.0,辆次/日,2024-07-18,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-18/508018_20240718_B4R7.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2024-09-30,traffic_volume,28100.0,vehicles_per_day,28100.0,辆次/日,2024-10-25,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-25/508018_20241025_3E0F.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2024-12-31,traffic_volume,23400.0,vehicles_per_day,23400.0,辆次/日,2025-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-22/508018_20250122_8BLC.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2025-03-31,traffic_volume,27500.0,vehicles_per_day,27500.0,辆次/日,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508018_20250422_PA2W.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2025-06-30,traffic_volume,22795.89,vehicles_per_day,22795.89,辆次/日,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508018_20250721_QGWH.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2025-09-30,traffic_volume,26467.48,vehicles_per_day,26467.48,辆次/日,2025-10-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-28/508018_20251028_TOR5.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2025-12-31,traffic_volume,23361.89,vehicles_per_day,23361.89,辆次/日,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508018_20260122_1JOC.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2026-03-31,traffic_volume,29382.44,vehicles_per_day,29382.44,辆次/日,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508018_20260422_LXZD.pdf,季度报告自然车流日均口径；早期报告披露至百辆
508018,jiayu_tongcheng_expressway,2026-06-30,traffic_volume,23751.12,vehicles_per_day,23751.12,辆次/日,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508018_20260721_VWHG.pdf,季度报告自然车流日均口径；早期报告披露至百辆
