symbol,asset_id,weather_point_id,period_end,data_kind,latitude,longitude,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,temperature_2m_mean_c,et0_fao_evapotranspiration_sum_mm,weather_days,source_url,retrieved_at,source_note
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2023-06-30,ex_post_reanalysis_era5,28.750000,101.750000,518.100000,489.700000,19.880000,17.092308,358.050000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2023-09-30,ex_post_reanalysis_era5,28.750000,101.750000,698.100000,698.100000,0.000000,20.856522,304.450000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2023-12-31,ex_post_reanalysis_era5,28.750000,101.750000,228.100000,176.600000,36.050000,11.850000,211.100000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2024-03-31,ex_post_reanalysis_era5,28.750000,101.750000,140.300000,51.900000,62.020000,7.309890,265.850000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2024-06-30,ex_post_reanalysis_era5,28.750000,101.750000,695.800000,652.800000,30.100000,16.954945,305.890000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2024-09-30,ex_post_reanalysis_era5,28.750000,101.750000,772.500000,772.500000,0.000000,21.529348,315.600000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2024-12-31,ex_post_reanalysis_era5,28.750000,101.750000,219.300000,165.500000,37.660000,10.800000,182.320000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2025-03-31,ex_post_reanalysis_era5,28.750000,101.750000,178.800000,15.900000,114.030000,6.046667,225.710000,90,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2025-06-30,ex_post_reanalysis_era5,28.750000,101.750000,659.100000,601.900000,40.040000,16.360440,314.690000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2025-09-30,ex_post_reanalysis_era5,28.750000,101.750000,719.100000,719.100000,0.000000,21.193478,321.010000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2025-12-31,ex_post_reanalysis_era5,28.750000,101.750000,237.300000,157.500000,55.860000,11.977174,200.690000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2026-03-31,ex_post_reanalysis_era5,28.750000,101.750000,209.900000,68.000000,99.330000,8.682222,257.600000,90,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2026-06-30,ex_post_reanalysis_era5,28.750000,101.750000,655.900000,588.600000,47.110000,16.907692,305.810000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
