date,strategy_return,eligible_reit_equal_weight_return,benchmark_return,strategy_value,eligible_reit_equal_weight_value,strategy_commission_rmb,eligible_reit_equal_weight_commission_rmb,strategy_equity,eligible_reit_equal_weight_equity,benchmark_equity
2024-10-28,-9.999999999998899e-05,-0.0003499999999997394,0.0,99990.0,99965.00000000003,10.0,35.0,0.9999,0.9996500000000003,1.0
2024-10-29,-0.0010706638115632883,6.845117183074123e-05,-0.00021398842322639666,99882.94432548179,99971.8427213921,0.0,0.0,0.9988294432548179,0.9997184272139209,0.9997860115767736
2024-10-30,0.0005367684211647905,6.452360768727239e-05,-0.0005885941161991592,99936.55833580866,99978.29326535163,0.0,0.0,0.9993655833580866,0.9997829326535164,0.9991975434129012
2024-10-31,-0.0005369115942580605,3.750569445903906e-05,-0.001274253651432633,99882.90123894792,99982.04302067138,0.0,0.0,0.9988290123894792,0.9998204302067137,0.9979243122947048
2024-11-01,0.0006704216028028398,-0.0010844267465769386,-0.001586808049834354,99949.86489368914,99873.61981904236,0.0,0.0,0.9994986489368914,0.9987361981904236,0.9963407979628301
2024-11-04,0.0016533171514934164,0.00046319799596461486,0.0005047196658110042,100115.11371960733,99919.88107959228,0.0,0.0,1.0011511371960733,0.9991988107959228,0.9968436707574119
2024-11-05,0.0005797561064948553,0.00020981694213895175,-0.000150266185814818,100173.15606813869,99940.84596349929,0.0,0.0,1.0017315606813868,0.9994084596349929,0.9966938788611535
2024-11-06,0.0025410805756314048,-0.000307467257402938,-0.0003220473624320208,100427.70412922313,99910.11742568837,0.0,0.0,1.0042770412922313,0.9991011742568837,0.9963728962263141
2024-11-07,0.00186313583580211,-0.0017646101988476603,0.0005369185172459101,100614.81458369362,99733.81501351093,0.0,0.0,1.0061481458369361,0.9973381501351093,0.99690786728438
2024-11-08,0.0036353846709085147,-0.0003426373377594105,0.000987399918432219,100980.58813829748,99699.64248465012,0.0,0.0,1.0098058813829747,0.9969964248465012,0.997892214031221
2024-11-11,0.002171002128476207,0.004289948614865313,0.005671949048956737,101199.8172100805,100127.34882782972,0.0,0.0,1.011998172100805,1.0012734882782972,1.0035522078255568
2024-11-12,0.003175083071110363,0.0030413879245259068,0.0033690495228957396,101521.13503650369,100431.87493746946,0.0,0.0,1.0152113503650368,1.0043187493746946,1.0069332249125325
2024-11-13,0.0003963984704375978,-0.001033827827083389,-0.0009244402885953962,101561.37785914924,100328.04567043294,0.0,0.0,1.0156137785914925,1.0032804567043294,1.006002375271498
2024-11-14,0.0007901494745972126,-0.001273881908598229,-0.0024036416234153313,101641.62652850401,100200.23958812836,0.0,0.0,1.0164162652850401,1.0020023958812836,1.0035843060890406
2024-11-15,8.840803042597933e-05,-7.571853986998445e-05,-0.0017590993411372713,101650.61246451469,100192.65257229212,0.0,0.0,1.016506124645147,1.0019265257229213,1.0018189015974237
2024-11-18,-0.004744576597350059,-0.0030636474573941808,-0.0021573590507620866,101168.32334750926,99885.69760698944,0.0,0.0,1.0116832334750925,0.9988569760698944,0.999657618522838
2024-11-19,0.000132593619933008,-0.0011505947443903874,-0.0016589782834390832,101181.73762172446,99770.76964828308,0.0,0.0,1.0118173762172447,0.9977076964828308,0.9979992082428342
2024-11-20,-0.0009269677055978587,0.0004374384735243986,-0.00021441742784855666,101087.94541855284,99814.41322146037,0.0,0.0,1.0108794541855284,0.9981441322146037,0.9977852198196079
2024-11-21,-0.0012376720002497121,-0.0009677077784174815,-2.1446341254116597e-05,100962.83169894553,99717.82203738778,0.0,0.0,1.0096283169894553,0.9971782203738778,0.9977638209772853
2024-11-22,-0.0014135831343976557,-0.0001291259290460145,-0.001726467497372819,100820.11234285487,99704.94588097476,0.0,0.0,1.0082011234285488,0.9970494588097476,0.9960412141703135
2024-11-25,-0.001947576779291249,-0.0011982190352431976,-0.0012460657621947702,100623.7574331704,99585.47751691229,0.0,0.0,1.006237574331704,0.9958547751691229,0.994800081315601
2024-11-26,0.0014207015885088214,-0.00038411660244830337,-0.0011830882906525009,100766.71376519743,99547.2250816353,0.0,0.0,1.0076671376519744,0.995472250816353,0.9936231449878564
2024-11-27,-0.0018617849347285498,-0.0007538163986212654,-0.0008291427525385364,100579.10781558728,99472.18475093153,0.0,0.0,1.0057910781558728,0.9947218475093152,0.9927992895584352
2024-11-28,0.0013755903257828273,-0.0003720934320737834,9.699321047529352e-05,100717.46346327427,99435.17180431167,0.0,0.0,1.0071746346327426,0.9943517180431167,0.992895584348887
2024-11-29,0.0024803853130577203,0.0009811616417991775,0.0008728542333429345,100967.28158041701,99532.73378073177,0.0,0.0,1.0096728158041701,0.9953273378073176,0.9937622374629534
2024-12-02,0.0023944245881075688,0.003098428436896228,0.0014319552110251266,101209.04012202754,99841.12883348,0.0,0.0,1.0120904012202754,0.9984112883348001,0.9951852604774085
2024-12-03,0.0029596404686522693,0.0013671604338763022,0.0006343199337728311,101508.58249296615,99977.62767449468,0.0,0.0,1.0150858249296615,0.9997762767449468,0.9958165263259262
2024-12-04,-0.0008799332651442393,-0.00028430101520460216,-0.0007198727866598587,101419.26171453294,99949.20393344907,0.0,0.0,1.0141926171453295,0.9994920393344907,0.995099665108118
2024-12-05,-0.004581806973018909,-0.0026746139880778896,-0.0021396699102198546,100954.57823401087,99681.87839451141,0.0,0.0,1.0095457823401086,0.9968187839451141,0.9929704802970163
2024-12-06,-0.0009703574011845628,-0.0007353295501846269,-0.0006788354201237023,100856.61621183803,99608.57936371001,0.0,0.0,1.0085661621183803,0.9960857936371001,0.9922964167638534
2024-12-09,0.0003109821065552243,-0.0007490731549565366,-0.0003666044876701191,100887.98081480763,99533.9652509053,0.0,0.0,1.0088798081480763,0.995339652509053,0.9919326364443688
