symbol,quarterly_report_count,semiannual_report_count,annual_report_count,distribution_announcement_count,first_announcement_date,latest_announcement_date,asset_type,classification_status,asset_type_source_url,listing_date,listing_source_url,listing_status,has_periodic_report,has_distribution_announcement
180603,7,1,2,7,2024-08-20,2026-08-19,retail,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/6a722e72-95f5-4a14-b0b1-14f415b7c14a.PDF,2024-09-20,https://disc.static.szse.cn/disc/disk03/finalpage/2024-09-20/90ddc7e7-b74b-4ae8-b477-4f9f60d7bbd5.PDF,listed,True,True
180605,6,1,1,3,2024-12-25,2026-08-27,retail,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/aa82d639-0bc0-4ebc-97fd-9540ab86eae7.PDF,2025-01-24,https://disc.static.szse.cn/disc/disk03/finalpage/2025-01-23/78da295a-d609-4877-ba87-44dfc0138b1f.PDF,listed,True,True
180606,4,1,1,2,2025-06-04,2026-08-28,retail,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-28/02b8ee16-4565-4bf7-8cd8-1ef8cb6ba5ad.PDF,2025-06-27,https://disc.static.szse.cn/disc/disk03/finalpage/2025-06-27/6c7a8dcd-e001-47a8-bdcb-fb812a0424a6.PDF,listed,True,True
180607,3,0,1,3,2025-09-23,2026-08-26,retail,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/ded52326-d314-4f13-83f6-ed6410a8fd22.PDF,2025-10-31,https://disc.static.szse.cn/disc/disk03/finalpage/2025-10-31/dbb87d72-3679-418e-8186-95fdc52bf57e.PDF,listed,True,True
180701,7,1,2,4,2024-10-10,2026-08-13,water,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-20/621f9955-18ab-4c70-8f7f-945a15dd22f0.PDF,2024-11-08,https://disc.static.szse.cn/disc/disk03/finalpage/2024-11-07/9a0ccf52-28be-413b-9d89-064414f03d27.PDF,listed,True,True
180801,20,4,5,11,2021-05-19,2026-07-27,waste_to_energy,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/744c9eac-ece8-4e3d-a03d-3542098aee62.PDF,2021-06-21,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/6ba68224-cc80-47ed-88d7-5d67de2a29ee.PDF,listed,True,True
180901,4,0,1,0,2025-06-26,2026-08-12,data_center,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/0fce6b0b-a3f4-411e-878c-1115d6ca504f.PDF,2025-08-08,https://disc.static.szse.cn/disc/disk03/finalpage/2025-08-08/792b615f-6da3-40b8-be60-0d6245121619.PDF,listed,True,False
181001,0,0,0,0,2026-06-23,2026-09-04,commercial_property,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-09-04/4c3e0def-d608-4bd2-b226-e5b95462c4a2.PDF,2026-09-03,https://disc.static.szse.cn/disc/disk03/finalpage/2026-09-03/35312993-fa9c-4157-b978-844fa9ec37e4.PDF,listed,False,False
508000,20,4,5,9,2021-05-19,2026-08-01,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508000_20260721_YU5C.pdf,2021-06-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508000_20210621_1_lfBkSuY8.pdf,listed,True,True
508001,20,4,5,8,2021-05-19,2026-08-25,toll_road,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508001_20260721_8C22.pdf,2021-06-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508001_20210621_1_mv8eKTIE.pdf,listed,True,True
508002,8,1,2,5,2024-06-20,2026-08-17,retail,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508002_20260721_3EWO.pdf,2024-08-16,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-08-16/508002_20240816_QWDN.pdf,listed,True,True
508003,7,2,2,6,2024-09-20,2026-08-28,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508003_20260828_EDDH.pdf,2024-11-05,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-05/508003_20241105_BJNZ.pdf,listed,True,True
508005,7,1,2,5,2024-07-30,2026-08-21,retail,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508005_20260721_VAGA.pdf,2024-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-08-28/508005_20240828_TLIO.pdf,listed,True,True
508006,20,4,5,12,2021-05-19,2026-08-22,water,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508006_20260721_1ULD.pdf,2021-06-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508006_20210621_1_sQvam6Tl.pdf,listed,True,True
508007,11,3,3,11,2023-09-19,2026-08-28,toll_road,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508007_20260828_OPCI.pdf,2023-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-27/508007_20231027_KLEV.pdf,listed,True,True
508008,16,3,4,6,2022-06-10,2026-08-22,toll_road,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508008_20260721_0FU4.pdf,2022-07-08,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-07-05/508008_20220705_1_kaAXBwI7.pdf,listed,True,True
508009,14,4,3,14,2022-10-25,2026-08-28,toll_road,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508009_20260828_24B0.pdf,2022-11-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-11-22/508009_20221122_Q10Z.pdf,listed,True,True
508010,6,2,1,5,2024-11-19,2026-08-28,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508010_20260828_A19U.pdf,2024-12-11,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-11/508010_20241211_27X5.pdf,listed,True,True
508011,10,2,2,5,2023-12-25,2026-08-08,retail,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508011_20260721_IKC5.pdf,2024-03-12,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-12/508011_20240312_92OI.pdf,listed,True,True
508012,6,1,1,3,2024-12-03,2026-08-05,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508012_20260721_OH0W.pdf,2024-12-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-31/508012_20241231_3W1I.pdf,listed,True,True
