symbol,ex_date,cash_per_unit,announcement_date,source_url,source_note
508026,2025-10-10,0.0800,2025-09-29,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-29/508026_20250929_7N76.pdf,场内除息日；每10份分红0.8000元
508026,2026-04-27,0.1290,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508026_20260422_7LYZ.pdf,场内除息日；每10份分红1.2900元
