symbol,feature_id,period_end,publication_date,metric,aggregation,asset_ids,asset_count,current_value,lag_period_end,lag_value_as_of_publication,operating_yoy_pct,current_observation_ids,lag_observation_ids,current_quality_status,lag_quality_status,lineage_quality_status,prior_yoy_observations,expected_yoy_pct,operating_surprise_pct,asset_type,decision_date,universe_count,signal_rank,signal_rank_pct,selected,entry_date,holding_end,holding_period_return_pct,holding_period_benchmark_pct,forward_horizon_days,forward_horizon_end,forward_return_pct,benchmark_return_pct,forward_excess_return_pct
180301,yantian_occupancy_yoy,2025-03-31,2025-04-22,occupancy,sum,modern_logistics_center,1,95.29,2024-03-31,91.16,4.530495831505066,180301:modern_logistics_center:20250331:occupancy:SZSE_1223185276,180301:modern_logistics_center:20240331:occupancy:SZSE_1219689585,verified,verified,verified,4,-7.171283346963281,11.701779178468346,logistics,2025-04-22,7,2.0,0.8571428571428571,True,2025-04-23,2025-07-22,4.744672295938868,2.8235471045483074,20,2025-05-26,2.8548451950140663,2.567886381366846,0.2869588136472201
508056,glp_post_expansion_occupancy_yoy,2025-03-31,2025-04-22,occupancy,sum,post_expansion_portfolio,1,90.59,2024-03-31,85.79,5.595057699032524,508056:post_expansion_portfolio:20250331:occupancy:SSE_508056_20250422_C26F,508056:post_expansion_portfolio:20240331:occupancy:SSE_508056_20240420_HAND,verified,verified,verified,3,-3.277164099336579,8.872221798369104,logistics,2025-04-22,7,3.0,0.7142857142857143,False,2025-04-23,2025-07-22,2.4769992922859307,2.8235471045483074,20,2025-05-26,2.3118660061335117,2.567886381366846,-0.25602037523333454
180201,guanghe_traffic_yoy,2025-03-31,2025-04-22,traffic_volume,sum,guanghe_expressway,1,134600.0,2024-03-31,136200.0,-1.1747430249632873,180201:guanghe_expressway:20250331:traffic_volume:SZSE_1223191935,180201:guanghe_expressway:20240331:traffic_volume:SZSE_1219694895,verified,verified,verified,4,-3.7118155566474713,2.537072531684184,toll_road,2025-04-22,7,4.0,0.5714285714285714,False,2025-04-23,2025-07-22,1.7409871068407634,2.8235471045483074,20,2025-05-26,1.5028332101502784,2.567886381366846,-1.0650531712165678
180401,gas_settlement_yoy,2025-03-31,2025-04-21,settled_electricity,sum,dongbu_power_phase1,1,50722.65,2024-03-31,57421.1,-11.665485335529969,180401:dongbu_power_phase1:20250331:settled_electricity:SZSE_1223155851,180401:dongbu_power_phase1:20240331:settled_electricity:SZSE_1219663184,unverified,unverified,contains_unverified_source_registry,6,-5.433756634815758,-6.231728700714211,gas_power,2025-04-22,7,5.0,0.42857142857142855,False,2025-04-23,2025-07-22,-1.210450623202286,2.8235471045483074,20,2025-05-26,-2.121284755512942,2.567886381366846,-4.689171136879788
508096,solar_settlement_yoy,2025-03-31,2025-04-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,10300.0,2024-03-31,12700.0,-18.89763779527559,508096:hubei_jingtai_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS|508096:yulin_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS,508096:hubei_jingtai_pv:20240331:settled_electricity:SSE_508096_20240420_VD9G|508096:yulin_pv:20240331:settled_electricity:SSE_508096_20240420_VD9G,unverified,unverified,contains_unverified_source_registry,3,-8.77076321789165,-10.126874577383939,mixed_energy,2025-04-22,7,6.0,0.2857142857142857,False,2025-04-23,2025-07-22,-1.122247317899483,2.8235471045483074,20,2025-05-26,-0.33173348390739266,2.567886381366846,-2.899619865274239
508028,wind_generation_yoy,2025-03-31,2025-04-22,power_generation,sum,binhai_h1_h2,1,34933.27,2024-03-31,42743.86,-18.27301043939411,508028:binhai_h1_h2:20250331:power_generation:SSE_508028_20250422_YHMC,508028:binhai_h1_h2:20240331:power_generation:SSE_508028_20240422_NS1X,unverified,unverified,contains_unverified_source_registry,3,-0.19898720205631845,-18.07402323733779,wind,2025-04-22,7,7.0,0.14285714285714285,False,2025-04-23,2025-07-22,2.5677830940988855,2.8235471045483074,20,2025-05-26,2.7990430622009566,2.567886381366846,0.23115668083411034
508028,wind_generation_yoy,2025-06-30,2025-07-21,power_generation,sum,binhai_h1_h2,1,33776.96,2024-06-30,25196.32,34.05513186052567,508028:binhai_h1_h2:20250630:power_generation:SSE_508028_20250721_TBZ8,508028:binhai_h1_h2:20240630:power_generation:SSE_508028_20240719_95R7,unverified,unverified,contains_unverified_source_registry,4,-4.717493011390767,38.772624871916435,wind,2025-07-21,7,1.0,1.0,True,2025-07-22,2025-10-29,-0.17882133416264878,-3.8392979569450203,20,2025-08-19,-0.9640802363551582,-3.649161296220127,2.685081059864969
180301,yantian_occupancy_yoy,2025-06-30,2025-07-18,occupancy,sum,modern_logistics_center,1,96.05,2024-06-30,91.5,4.972677595628405,180301:modern_logistics_center:20250630:occupancy:SZSE_1224202354,180301:modern_logistics_center:20240630:occupancy:SZSE_1220674820,verified,verified,verified,5,-4.8309275112696115,9.803605106898017,logistics,2025-07-21,7,2.0,0.8571428571428571,True,2025-07-22,2025-10-29,3.7236084452975104,-3.8392979569450203,20,2025-08-19,0.6142034548944242,-3.649161296220127,4.263364751114551
508056,glp_post_expansion_occupancy_yoy,2025-06-30,2025-07-21,occupancy,sum,post_expansion_portfolio,1,92.24,2024-06-30,85.64,7.706679121905635,508056:post_expansion_portfolio:20250630:occupancy:SSE_508056_20250721_ICAX,508056:post_expansion_portfolio:20240630:occupancy:SSE_508056_20240719_ZXZK,verified,verified,verified,4,-1.059108649744303,8.765787771649938,logistics,2025-07-21,7,3.0,0.7142857142857143,False,2025-07-22,2025-10-29,-3.913443830570895,-3.8392979569450203,20,2025-08-19,-2.992633517495391,-3.649161296220127,0.6565277787247359
180201,guanghe_traffic_yoy,2025-06-30,2025-07-21,traffic_volume,sum,guanghe_expressway,1,132600.0,2024-06-30,128400.0,3.2710280373831724,180201:guanghe_expressway:20250630:traffic_volume:SZSE_1224215339,180201:guanghe_expressway:20240630:traffic_volume:SZSE_1220676362,verified,verified,verified,5,-3.204401050310634,6.475429087693806,toll_road,2025-07-21,7,4.0,0.5714285714285714,False,2025-07-22,2025-10-29,-2.1632092985713003,-3.8392979569450203,20,2025-08-19,-1.9856324158527672,-3.649161296220127,1.6635288803673598
