symbol,asset_type,classification_status,classification_method,evidence_phrase,publication_date,source_url,raw_title
180605,retail,official_title_evidence,official_announcement_title_keyword,农贸市场,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/aa82d639-0bc0-4ebc-97fd-9540ab86eae7.PDF,易方达华威市场REIT：易方达华威农贸市场封闭式基础设施证券投资基金2026年第2季度报告
180606,retail,official_title_evidence,official_announcement_title_keyword,消费,2026-08-28,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-28/02b8ee16-4565-4bf7-8cd8-1ef8cb6ba5ad.PDF,中金中国绿发消费REIT：中金中国绿发消费封闭式基础设施证券投资基金2026年中期报告
180607,retail,official_title_evidence,official_announcement_title_keyword,消费,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/ded52326-d314-4f13-83f6-ed6410a8fd22.PDF,华夏中海消费REIT：华夏中海消费封闭式基础设施证券投资基金2026年第2季度报告
180701,water,official_title_evidence,official_announcement_title_keyword,原水水利,2026-07-20,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-20/621f9955-18ab-4c70-8f7f-945a15dd22f0.PDF,银华绍兴原水水利REIT：银华绍兴原水水利封闭式基础设施证券投资基金2026年第2季度报告
180801,waste_to_energy,official_title_evidence,official_announcement_title_keyword,生物质,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/744c9eac-ece8-4e3d-a03d-3542098aee62.PDF,中航首钢绿能REIT：中航首钢生物质封闭式基础设施证券投资基金2026年第2季度报告
180901,data_center,official_title_evidence,official_announcement_title_keyword,数据中心,2026-07-21,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/0fce6b0b-a3f4-411e-878c-1115d6ca504f.PDF,南方润泽科技数据中心REIT：南方润泽科技数据中心封闭式基础设施证券投资基金2026年第2季度报告
181001,commercial_property,official_title_evidence,official_announcement_title_keyword,商业不动产,2026-09-04,https://disc.static.szse.cn/disc/disk03/finalpage/2026-09-04/4c3e0def-d608-4bd2-b226-e5b95462c4a2.PDF,创金合信北京国资公司REIT：创金合信北京国资公司封闭式商业不动产证券投资基金关于原始权益人及其关联方基金份额增持计划的公告
508000,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508000_20260721_YU5C.pdf,华安张江产业园封闭式基础设施证券投资基金2026年第2季度报告
508001,toll_road,official_title_evidence,official_announcement_title_keyword,高速封闭式基础设施,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508001_20260721_8C22.pdf,浙商证券沪杭甬杭徽高速封闭式基础设施证券投资基金2026年第2季度报告
508002,retail,official_title_evidence,official_announcement_title_keyword,消费,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508002_20260721_3EWO.pdf,华安百联消费封闭式基础设施证券投资基金2026年第2季度报告
