case,score,top_n,commission_rate_pct,minimum_commission_rmb,cash_annual_yield_pct,strategy_return_pct,equal_weight_return_pct,benchmark_return_pct,excess_vs_equal_weight_pct,excess_vs_benchmark_pct,max_drawdown_pct,commission_paid_rmb
joint_top2,model_score,2,0.01,5.0,1.5,7.603849470585722,1.541286860730784,0.6815531279759535,6.062562609854938,6.922296342609768,-6.349010995260884,124.70241662205207
operating_only_top2,raw_operating_surprise_pct_rank_pct,2,0.01,5.0,1.5,5.697466984418842,1.541286860730784,0.6815531279759535,4.156180123688058,5.0159138564428885,-9.85042049165017,133.91112713956085
distribution_only_top2,ttm_distribution_yield_rank_pct,2,0.01,5.0,1.5,4.366474648790741,1.541286860730784,0.6815531279759535,2.8251877880599574,3.684921520814788,-10.165679234364644,92.20180028702752
nav_only_top2,nav_to_price_rank_pct,2,0.01,5.0,1.5,6.989162647615488,1.541286860730784,0.6815531279759535,5.447875786884704,6.307609519639534,-10.889988336707635,86.17681692325196
momentum_only_top2,total_return_momentum_20d_rank_pct,2,0.01,5.0,1.5,6.318708843955223,1.541286860730784,0.6815531279759535,4.777421983224439,5.63715571597927,-8.630924917769246,130.25912355874334
joint_top1,model_score,1,0.01,5.0,1.5,1.0977986965372555,1.541286860730784,0.6815531279759535,-0.44348816419352843,0.416245568561302,-12.559557055706417,154.90768059848207
joint_top3,model_score,3,0.01,5.0,1.5,3.6075378705260563,1.541286860730784,0.6815531279759535,2.0662510097952724,2.925984742550103,-6.2287212314212415,165.0
joint_top2_five_bps,model_score,2,0.05,5.0,1.5,7.217864498408799,1.520661121425304,0.6815531279759535,5.697203376983495,6.536311370432846,-6.4616973690265205,502.7885318852991
joint_top2_zero_cash,model_score,2,0.01,5.0,0.0,7.603849470585722,1.541286860730784,0.6815531279759535,6.062562609854938,6.922296342609768,-6.349010995260884,124.70241662205207
