symbol,asset_id,period_end,metric,value,unit,raw_value,raw_unit,publication_date,source_url,source_note
508096,yulin_pv,2024-09-30,settlement_tariff,0.7386,RMB_per_kWh,0.7386,元/千瓦时（含税）,2024-10-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-24/508096_20241024_4OB1.pdf,项目级当期披露；含国补及报告所列结算项
508096,hubei_jingtai_pv,2024-09-30,settled_electricity,3300,10k_kWh,0.33,亿千瓦时,2024-10-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-24/508096_20241024_4OB1.pdf,项目级当期披露；仅两位小数
508096,hubei_jingtai_pv,2024-09-30,settlement_tariff,0.9913,RMB_per_kWh,0.9913,元/千瓦时（含税）,2024-10-24,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-24/508096_20241024_4OB1.pdf,项目级当期披露；含国补及报告所列结算项
508096,yulin_pv,2024-12-31,availability_rate,100,percent,100.00,%,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；设备利用率口径
508096,yulin_pv,2024-12-31,power_generation,6800.000000000001,10k_kWh,0.68,亿千瓦时,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2024-12-31,utilization_hours,207,hours,207.00,小时,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；等效利用小时
508096,yulin_pv,2024-12-31,settled_electricity,6600,10k_kWh,0.66,亿千瓦时,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2024-12-31,settlement_tariff,0.7259,RMB_per_kWh,0.7259,元/千瓦时（含税）,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；最终实际结算均价
508096,yulin_pv,2024-12-31,settlement_revenue,48000000,RMB,0.48,亿元（含税）,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2024-12-31,power_generation,2400,10k_kWh,0.24,亿千瓦时,2025-01-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-21/508096_20250121_E6TE.pdf,项目级当期披露；报告值仅两位小数
