case,top_n,commission_rate_pct,minimum_commission_rmb,cash_annual_yield_pct,strategy_return_pct,equal_weight_return_pct,benchmark_return_pct,excess_vs_equal_weight_pct,excess_vs_benchmark_pct,max_drawdown_pct,commission_paid_rmb
top1_base_cost,1,0.01,5.0,1.5,13.579524548782418,2.105947843835221,0.6815531279759535,11.473576704947197,12.897971420806464,-12.681552135269836,175.34829660370366
top2_base_cost,2,0.01,5.0,1.5,11.382872859165328,2.105947843835221,0.6815531279759535,9.276925015330107,10.701319731189376,-7.376068316741192,149.30653661316506
top3_base_cost,3,0.01,5.0,1.5,5.85081255910731,2.105947843835221,0.6815531279759535,3.7448647152720893,5.169259431131357,-9.017049018148093,175.0
top2_five_bps,2,0.05,5.0,1.5,10.849146703253766,2.0888892170914053,0.6815531279759535,8.76025748616236,10.167593575277813,-7.450182284881402,685.110104746347
top2_no_minimum,2,0.01,0.0,1.5,11.397674044482109,2.3801044645598957,0.6815531279759535,9.017569579922213,10.716120916506156,-7.376068316741158,134.5476168843339
top2_zero_cash_yield,2,0.01,5.0,0.0,11.382872859165328,2.105947843835221,0.6815531279759535,9.276925015330107,10.701319731189376,-7.376068316741192,149.30653661316506
