symbol,asset_id,period_start,period_end,period_type,availability_class,metric,value,unit,publication_date,source_url,source_note
508026,wuyiqiao_1_5,2017-01-01,2017-12-31,annual,pre_listing_disclosed_at_ipo,hydrological_generation_potential,53363.98,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；等于发电量加弃水电量
508026,wuyiqiao_1_5,2017-01-01,2017-12-31,annual,pre_listing_disclosed_at_ipo,curtailed_generation,10320.36,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；原名弃水电量
508026,wuyiqiao_1_5,2017-01-01,2017-12-31,annual,pre_listing_disclosed_at_ipo,grid_connected_electricity,42453.32,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-11；计划内与市场化电量合计
508026,wuyiqiao_1_5,2018-01-01,2018-12-31,annual,pre_listing_disclosed_at_ipo,power_generation,48942.40,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-8
508026,wuyiqiao_1_5,2018-01-01,2018-12-31,annual,pre_listing_disclosed_at_ipo,utilization_hours,3572,hours,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-9；原名有效发电小时数
508026,wuyiqiao_1_5,2018-01-01,2018-12-31,annual,pre_listing_disclosed_at_ipo,hydrological_generation_potential,65913.32,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；等于发电量加弃水电量
508026,wuyiqiao_1_5,2018-01-01,2018-12-31,annual,pre_listing_disclosed_at_ipo,curtailed_generation,16970.92,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；原名弃水电量
508026,wuyiqiao_1_5,2018-01-01,2018-12-31,annual,pre_listing_disclosed_at_ipo,grid_connected_electricity,47578.74,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-11；计划内与市场化电量合计
508026,wuyiqiao_1_5,2019-01-01,2019-12-31,annual,pre_listing_disclosed_at_ipo,power_generation,52723.41,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-8
508026,wuyiqiao_1_5,2019-01-01,2019-12-31,annual,pre_listing_disclosed_at_ipo,utilization_hours,3848,hours,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-9；原名有效发电小时数
508026,wuyiqiao_1_5,2019-01-01,2019-12-31,annual,pre_listing_disclosed_at_ipo,hydrological_generation_potential,56725.96,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；原表数值与分项存在0.00至0.01万千瓦时舍入差
508026,wuyiqiao_1_5,2019-01-01,2019-12-31,annual,pre_listing_disclosed_at_ipo,curtailed_generation,4002.55,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；原名弃水电量
508026,wuyiqiao_1_5,2019-01-01,2019-12-31,annual,pre_listing_disclosed_at_ipo,grid_connected_electricity,51442.08,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-11；计划内与市场化电量合计
508026,wuyiqiao_1_5,2020-01-01,2020-12-31,annual,pre_listing_disclosed_at_ipo,power_generation,54986.58,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-8
508026,wuyiqiao_1_5,2020-01-01,2020-12-31,annual,pre_listing_disclosed_at_ipo,utilization_hours,4014,hours,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-9；原名有效发电小时数
508026,wuyiqiao_1_5,2020-01-01,2020-12-31,annual,pre_listing_disclosed_at_ipo,hydrological_generation_potential,60248.40,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；等于发电量加弃水电量
508026,wuyiqiao_1_5,2020-01-01,2020-12-31,annual,pre_listing_disclosed_at_ipo,curtailed_generation,5261.82,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；原名弃水电量
508026,wuyiqiao_1_5,2020-01-01,2020-12-31,annual,pre_listing_disclosed_at_ipo,grid_connected_electricity,53932.22,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-11；计划内与市场化电量合计
508026,wuyiqiao_1_5,2021-01-01,2021-12-31,annual,pre_listing_disclosed_at_ipo,power_generation,49992.80,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-8
508026,wuyiqiao_1_5,2021-01-01,2021-12-31,annual,pre_listing_disclosed_at_ipo,utilization_hours,3649,hours,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-9；原名有效发电小时数
508026,wuyiqiao_1_5,2021-01-01,2021-12-31,annual,pre_listing_disclosed_at_ipo,hydrological_generation_potential,53807.35,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；等于发电量加弃水电量
508026,wuyiqiao_1_5,2021-01-01,2021-12-31,annual,pre_listing_disclosed_at_ipo,curtailed_generation,3814.55,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；原名弃水电量
508026,wuyiqiao_1_5,2021-01-01,2021-12-31,annual,pre_listing_disclosed_at_ipo,grid_connected_electricity,48812.44,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-11；计划内与市场化电量合计
508026,wuyiqiao_1_5,2021-01-01,2021-12-31,annual,pre_listing_disclosed_at_ipo,average_inflow,48.1,cubic_metres_per_second,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书第175页；全年平均来水量
508026,wuyiqiao_1_5,2022-01-01,2022-12-31,annual,pre_listing_disclosed_at_ipo,power_generation,58504.21,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-8
508026,wuyiqiao_1_5,2022-01-01,2022-12-31,annual,pre_listing_disclosed_at_ipo,utilization_hours,4270,hours,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-9；原名有效发电小时数
508026,wuyiqiao_1_5,2022-01-01,2022-12-31,annual,pre_listing_disclosed_at_ipo,hydrological_generation_potential,61428.22,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；等于发电量加弃水电量
508026,wuyiqiao_1_5,2022-01-01,2022-12-31,annual,pre_listing_disclosed_at_ipo,curtailed_generation,2924.01,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；原名弃水电量
508026,wuyiqiao_1_5,2022-01-01,2022-12-31,annual,pre_listing_disclosed_at_ipo,grid_connected_electricity,57963.40,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-11；计划内与市场化电量合计
508026,wuyiqiao_1_5,2022-01-01,2022-12-31,annual,pre_listing_disclosed_at_ipo,average_inflow,54.9,cubic_metres_per_second,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书第175页；全年平均来水量
508026,wuyiqiao_1_5,2023-01-01,2023-09-30,year_to_date,pre_listing_disclosed_at_ipo,power_generation,36749.00,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-8；仅2023年1至9月
508026,wuyiqiao_1_5,2023-01-01,2023-09-30,year_to_date,pre_listing_disclosed_at_ipo,utilization_hours,2682,hours,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-9；仅2023年1至9月；原名有效发电小时数
508026,wuyiqiao_1_5,2023-01-01,2023-09-30,year_to_date,pre_listing_disclosed_at_ipo,hydrological_generation_potential,39517.31,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；仅2023年1至9月
508026,wuyiqiao_1_5,2023-01-01,2023-09-30,year_to_date,pre_listing_disclosed_at_ipo,curtailed_generation,2768.31,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-10；仅2023年1至9月
508026,wuyiqiao_1_5,2023-01-01,2023-09-30,year_to_date,pre_listing_disclosed_at_ipo,grid_connected_electricity,36290.25,10k_kWh,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书表14-11；仅2023年1至9月
508026,wuyiqiao_1_5,2023-01-01,2023-09-30,year_to_date,pre_listing_disclosed_at_ipo,average_inflow,41.89,cubic_metres_per_second,2024-02-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-02-27/508026_20240227_RGPU.pdf,招募说明书第175页；2023年1至9月各月日均径流量平均
