symbol,period_end,publication_date,metric,value,unit,source_url,document_type,verification_status,raw_text
180201,2024-03-31,2024-04-22,distributable_amount_quarter,151107642.98,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-19/617910a5-d264-4041-91c3-e721d71f5a6d.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 151,107,642.98，单位可供分配金额 0.2159"
180201,2024-03-31,2024-04-22,fund_shares,700000000.0,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-19/617910a5-d264-4041-91c3-e721d71f5a6d.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 151,107,642.98，单位可供分配金额 0.2159"
180201,2024-06-30,2024-07-19,distributable_amount_per_unit_quarter,0.1521,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-18/132ceba0-2e96-4c29-8c9c-a91976cccb7a.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 106,488,338.38，单位可供分配金额 0.1521"
180201,2024-06-30,2024-07-19,distributable_amount_quarter,106488338.38,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-18/132ceba0-2e96-4c29-8c9c-a91976cccb7a.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 106,488,338.38，单位可供分配金额 0.1521"
180201,2024-06-30,2024-07-19,fund_shares,700000000.0,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-18/132ceba0-2e96-4c29-8c9c-a91976cccb7a.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 106,488,338.38，单位可供分配金额 0.1521"
180201,2024-09-30,2024-10-25,distributable_amount_per_unit_quarter,0.2467,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-24/bc9dd1c2-216a-4bc0-81d5-a16ae59c000b.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 172,717,141.74，单位可供分配金额 0.2467"
180201,2024-09-30,2024-10-25,distributable_amount_quarter,172717141.74,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-24/bc9dd1c2-216a-4bc0-81d5-a16ae59c000b.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 172,717,141.74，单位可供分配金额 0.2467"
180201,2024-09-30,2024-10-25,fund_shares,700000000.0,shares,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-24/bc9dd1c2-216a-4bc0-81d5-a16ae59c000b.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 172,717,141.74，单位可供分配金额 0.2467"
180201,2024-12-31,2025-01-22,distributable_amount_per_unit_quarter,0.1372,RMB_per_unit,https://disc.static.szse.cn/disc/disk03/finalpage/2025-01-21/20d4c982-7bfa-4832-90b7-389cddd154b1.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 96,010,594.72，单位可供分配金额 0.1372"
180201,2024-12-31,2025-01-22,distributable_amount_quarter,96010594.72,RMB,https://disc.static.szse.cn/disc/disk03/finalpage/2025-01-21/20d4c982-7bfa-4832-90b7-389cddd154b1.PDF,quarterly_report,machine_extracted_official_pdf,"报告期末基金份额总额 700,000,000.00 份；本期可供分配金额 96,010,594.72，单位可供分配金额 0.1372"
