symbol,feature_id,period_end,publication_date,metric,aggregation,asset_ids,asset_count,current_value,lag_period_end,lag_value_as_of_publication,operating_yoy_pct,current_observation_ids,lag_observation_ids,current_quality_status,lag_quality_status,lineage_quality_status,prior_yoy_observations,expected_yoy_pct,operating_surprise_pct,decision_date,universe_count,signal_rank,signal_rank_pct,selected,entry_date,holding_end,holding_period_return_pct,holding_period_benchmark_pct,forward_horizon_days,forward_horizon_end,forward_return_pct,benchmark_return_pct,forward_excess_return_pct
180401,gas_settlement_yoy,2025-06-30,2025-07-18,settled_electricity,sum,dongbu_power_phase1,1,85166.4,2024-06-30,99026.4,-13.996267661956807,180401:dongbu_power_phase1:20250630:settled_electricity:SZSE_1224203482,180401:dongbu_power_phase1:20240630:settled_electricity:SZSE_1220664855,unverified,unverified,contains_unverified_source_registry,7,-6.324003592060644,-7.672264069896163,2025-07-21,3,2.0,0.6666666666666666,False,2025-07-22,2025-10-29,-0.6551012980710924,-3.8392979569450203,20,2025-08-19,0.4367341987140616,-3.649161296220127,4.085895494934189
508096,solar_settlement_yoy,2025-06-30,2025-07-21,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,11100.0,2024-06-30,17100.0,-35.08771929824561,508096:hubei_jingtai_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3|508096:yulin_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3,508096:hubei_jingtai_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE|508096:yulin_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE,unverified,unverified,contains_unverified_source_registry,4,-11.302481862237634,-23.785237436007975,2025-07-21,3,3.0,0.3333333333333333,False,2025-07-22,2025-10-29,-3.4620601042187227,-3.8392979569450203,20,2025-08-19,-0.9351131415518577,-3.649161296220127,2.7140481546682693
180401,gas_settlement_yoy,2025-09-30,2025-10-27,settled_electricity,sum,dongbu_power_phase1,1,114637.05,2024-09-30,122828.75,-6.669204074778912,180401:dongbu_power_phase1:20250930:settled_electricity:SZSE_1224738150,180401:dongbu_power_phase1:20240930:settled_electricity:SZSE_1221490500,unverified,unverified,contains_unverified_source_registry,8,-7.283036600797665,0.6138325260187534,2025-10-28,4,1.0,1.0,True,2025-10-29,2026-01-23,-5.37306142386128,-0.4220732924568704,20,2025-11-26,-2.85749175723532,-0.790912115594844,-2.066579641640476
508096,solar_settlement_yoy,2025-09-30,2025-10-27,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,11000.0,2024-09-30,13200.0,-16.666666666666664,508096:hubei_jingtai_pv:20250930:settled_electricity:SSE_508096_20251027_34QT|508096:yulin_pv:20250930:settled_electricity:SSE_508096_20251027_34QT,508096:hubei_jingtai_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1|508096:yulin_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1,unverified,unverified,contains_unverified_source_registry,5,-16.05952934943923,-0.6071373172274335,2025-10-28,4,2.0,0.75,False,2025-10-29,2026-01-23,-6.994971901804203,-0.4220732924568704,20,2025-11-26,-1.5084294587400127,-0.790912115594844,-0.7175173431451687
508026,hydro_generation_yoy,2025-09-30,2025-10-28,power_generation,sum,wuyiqiao_1_5,1,22043.064,2024-09-30,23640.0112,-6.755272603254947,508026:wuyiqiao_1_5:20250930:power_generation:508026_2025Q3,508026:wuyiqiao_1_5:20240930:power_generation:508026_2024Q3,verified,verified,verified,1,14.307212941519222,-21.06248554477417,2025-10-28,4,3.0,0.5,False,2025-10-29,2026-01-23,-3.8011049723757018,-0.4220732924568704,20,2025-11-26,1.4585635359116056,-0.790912115594844,2.2494756515064496
508028,wind_generation_yoy,2025-09-30,2025-10-28,power_generation,sum,binhai_h1_h2,1,21963.23,2024-09-30,29151.13,-24.657363196555337,508028:binhai_h1_h2:20250930:power_generation:SSE_508028_20251028_036Z,508028:binhai_h1_h2:20240930:power_generation:SSE_508028_20241025_2Z9V,unverified,unverified,contains_unverified_source_registry,5,3.037031962992522,-27.69439515954786,2025-10-28,4,4.0,0.25,False,2025-10-29,2026-01-23,-1.7057403224550294,-0.4220732924568704,20,2025-11-26,-0.5685801074850061,-0.790912115594844,0.2223320081098379
508028,wind_generation_yoy,2025-12-31,2026-01-22,power_generation,sum,binhai_h1_h2,1,35849.05,2024-12-31,31073.04,15.370269532688141,508028:binhai_h1_h2:20251231:power_generation:SSE_508028_20260122_8WBS,508028:binhai_h1_h2:20241231:power_generation:SSE_508028_20250122_36A6,unverified,unverified,contains_unverified_source_registry,6,-1.5787005635987879,16.948970096286928,2026-01-22,4,1.0,1.0,True,2026-01-23,2026-04-23,-0.6893819334389817,-2.0534410172695194,20,2026-03-02,-0.8003169572107671,-1.5541617741119396,0.7538448169011724
508096,solar_settlement_yoy,2025-12-31,2026-01-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,8500.0,2024-12-31,9000.0,-5.555555555555558,508096:hubei_jingtai_pv:20251231:settled_electricity:SSE_508096_20260122_2ECJ|508096:yulin_pv:20251231:settled_electricity:SSE_508096_20260122_2ECJ,508096:hubei_jingtai_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE|508096:yulin_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE,unverified,unverified,contains_unverified_source_registry,6,-16.160718902310467,10.60516334675491,2026-01-22,4,2.0,0.75,False,2026-01-23,2026-04-23,1.0574018126888296,-2.0534410172695194,20,2026-03-02,1.3992685641596392,-1.5541617741119396,2.9534303382715787
180401,gas_settlement_yoy,2025-12-31,2026-01-21,settled_electricity,sum,dongbu_power_phase1,1,64582.65,2024-12-31,71922.4,-10.205096047962792,180401:dongbu_power_phase1:20251231:settled_electricity:SZSE_1224942753,180401:dongbu_power_phase1:20241231:settled_electricity:SZSE_1222380727,unverified,unverified,contains_unverified_source_registry,9,-7.214832986795582,-2.9902630611672105,2026-01-22,4,3.0,0.5,False,2026-01-23,2026-04-23,0.5032907471931969,-2.0534410172695194,20,2026-03-02,0.5807200929152101,-1.5541617741119396,2.1348818670271497
508026,hydro_generation_yoy,2025-12-31,2026-01-22,power_generation,sum,wuyiqiao_1_5,1,9775.3648,2024-12-31,12754.297,-23.356302585708967,508026:wuyiqiao_1_5:20251231:power_generation:508026_2025Q4,508026:wuyiqiao_1_5:20241231:power_generation:508026_2024Q4,verified,verified,verified,2,3.7759701691321372,-27.132272754841104,2026-01-22,4,4.0,0.25,False,2026-01-23,2026-04-23,3.5148173673328786,-2.0534410172695194,20,2026-03-02,-0.2986446129106368,-1.5541617741119396,1.2555171612013027
508026,hydro_generation_yoy,2026-03-31,2026-04-22,power_generation,sum,wuyiqiao_1_5,1,8590.6752,2025-03-31,5791.1392,48.34171487364698,508026:wuyiqiao_1_5:20260331:power_generation:508026_2026Q1,508026:wuyiqiao_1_5:20250331:power_generation:508026_2025Q1,verified,verified,verified,3,-5.268120749148231,53.60983562279521,2026-04-22,4,1.0,1.0,True,2026-04-23,2026-07-22,-9.276520195295168,-7.447368421052625,20,2026-05-26,-0.5770084332001768,-2.739766081871342,2.1627576486711653
180401,gas_settlement_yoy,2026-03-31,2026-04-21,settled_electricity,sum,dongbu_power_phase1,1,62136.25,2025-03-31,50722.65,22.501978898973142,180401:dongbu_power_phase1:20260331:settled_electricity:SZSE_1225132017,180401:dongbu_power_phase1:20250331:settled_electricity:SZSE_1223155851,unverified,unverified,contains_unverified_source_registry,10,-7.5138592929123025,30.015838191885443,2026-04-22,4,2.0,0.75,False,2026-04-23,2026-07-22,3.4540318438623485,-7.447368421052625,20,2026-05-26,3.7878787878787845,-2.739766081871342,6.527644869750127
508096,solar_settlement_yoy,2026-03-31,2026-04-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,9700.0,2025-03-31,10300.0,-5.825242718446599,508096:hubei_jingtai_pv:20260331:settled_electricity:SSE_508096_20260422_A83Y|508096:yulin_pv:20260331:settled_electricity:SSE_508096_20260422_A83Y,508096:hubei_jingtai_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS|508096:yulin_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS,unverified,unverified,contains_unverified_source_registry,7,-14.645695567059766,8.820452848613167,2026-04-22,4,3.0,0.5,False,2026-04-23,2026-07-22,-1.4790339076390602,-7.447368421052625,20,2026-05-26,1.1800802454566828,-2.739766081871342,3.919846327328025
508028,wind_generation_yoy,2026-03-31,2026-04-22,power_generation,sum,binhai_h1_h2,1,28156.57,2025-03-31,34933.27,-19.39898555159594,508028:binhai_h1_h2:20260331:power_generation:SSE_508028_20260422_YR89,508028:binhai_h1_h2:20250331:power_generation:SSE_508028_20250422_YHMC,unverified,unverified,contains_unverified_source_registry,7,0.8425808787279162,-20.241566430323854,2026-04-22,4,4.0,0.25,False,2026-04-23,2026-07-22,-1.1489667278385074,-7.447368421052625,20,2026-05-26,1.1808824702784548,-2.739766081871342,3.920648552149797
508096,solar_settlement_yoy,2026-06-30,2026-07-21,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,12200.0,2025-06-30,11100.0,9.90990990990992,508096:hubei_jingtai_pv:20260630:settled_electricity:508096_2026Q2|508096:yulin_pv:20260630:settled_electricity:508096_2026Q2,508096:hubei_jingtai_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3|508096:yulin_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3,verified,unverified,contains_unverified_source_registry,8,-13.543138960983121,23.453048870893042,2026-07-21,4,1.0,1.0,True,2026-07-22,2026-09-02,-0.2156032899464977,-0.9046009330342608,20,2026-08-19,0.6627804839095974,-1.4479933444960458,2.110773828405643
508026,hydro_generation_yoy,2026-06-30,2026-07-21,power_generation,sum,wuyiqiao_1_5,1,8421.2304,2025-06-30,9259.3872,-9.051968363521933,508026:wuyiqiao_1_5:20260630:power_generation:508026_2026Q2,508026:wuyiqiao_1_5:20250630:power_generation:508026_2025Q2,verified,verified,verified,4,8.134338156550571,-17.186306520072506,2026-07-21,4,2.0,0.75,False,2026-07-22,2026-09-02,0.41585127201566596,-0.9046009330342608,20,2026-08-19,-2.3727984344422692,-1.4479933444960458,-0.9248050899462235
508028,wind_generation_yoy,2026-06-30,2026-07-21,power_generation,sum,binhai_h1_h2,1,25758.24,2025-06-30,33776.96,-23.740206341837744,508028:binhai_h1_h2:20260630:power_generation:508028_2026Q2,508028:binhai_h1_h2:20250630:power_generation:SSE_508028_20250721_TBZ8,verified,unverified,contains_unverified_source_registry,8,-1.6876149250625656,-22.05259141677518,2026-07-21,4,3.0,0.5,False,2026-07-22,2026-09-02,0.6457341189765042,-0.9046009330342608,20,2026-08-19,1.356041649850681,-1.4479933444960458,2.804034994346727
180401,gas_settlement_yoy,2026-06-30,2026-07-20,settled_electricity,sum,dongbu_power_phase1,1,60688.1,2025-06-30,85166.4,-28.741733829303573,180401:dongbu_power_phase1:20260630:settled_electricity:180401_2026Q2,180401:dongbu_power_phase1:20250630:settled_electricity:SZSE_1224203482,verified,unverified,contains_unverified_source_registry,11,-4.785146730013626,-23.956587099289948,2026-07-21,4,4.0,0.25,False,2026-07-22,2026-09-02,-1.092217947126728,-0.9046009330342608,20,2026-08-19,0.21099664887673786,-1.4479933444960458,1.6589899933727836
